Title,Plateform,Release,Tags,Flat price,Discount,Developer,Publisher,Price
Euro Truck Simulator 2: Cabin Accessories,"
Steam
",30 September 2015,"Simulation,Indies,Driving,Open World,Realistic,Casual,Mod,Indie,Simulation,...","
4€
",-38%,"
SCS Software
","
SCS Software
",2.49€
Cities: Skylines - Green Cities,"
Steam
",19 October 2017,"Simulation,Strategy,City Builder,Simulation,Strategy","
13€
",-65%,"
Colossal Order Ltd.
","
Paradox Interactive
",4.59€
Total War: Warhammer II - Rise Of The Tomb King (Europe),"
Steam
",23 January 2018,"Strategy,Action,Fantasy,RTS,Action,Strategy","
19€
",-42%,"
CREATIVE ASSEMBLY
Feral Interactive
","
SEGA
Feral Interactive
",11.09€
Monster Hunter: World - Iceborne Master Edition Digital Deluxe,"
Steam
", 9 January 2020,"Action,Adventure","
70€
",-57%,"
","
",29.99€
Killing Floor 2,"
Steam
",18 November 2016,"GeForce Now,Cooperation,FPS,Action,Online Co-op,Early Access,Indies,Zombies,Gore,Survival,Horror,Shooter,First-Person,Team-Based,Survival Horror,Atmospheric,Difficult,Blood,Action,...","
10€
",-79%,"
Tripwire Interactive
","
Tripwire Interactive
",2.10€
Assetto Corsa: Dream Pack 3,"
Steam
",15 December 2015,"Racing,Sports,Simulation,Indies,Indie,Racing,Simulation,Sports,...","
7€
",-72%,"
Kunos Simulazioni
","
Kunos Simulazioni
",1.99€
Monster Hunter: World - Iceborne Master Edition,"
Steam
", 9 January 2020,"Action,Adventure","
60€
",-58%,"
","
",24.99€
LEGO Harry Potter: Years 5-7,"
Steam
", 5 January 2012,"Adventure,Local Co-op,Action,Cooperation,LEGO,Magic,Family Friendly,Fantasy,Split Screen,Comedy,Funny,Open World,Controller,Puzzle,Third Person,Local Multiplayer,Adventure,...","
20€
",-90%,"
Traveller's Tales
","
Warner Bros. Interactive Entertainment
",2.03€
Euro Truck Simulator 2 - High Power Cargo Pack,"
Steam
",14 August 2014,"Simulation,Indies,Management,Driving,Open World,First-Person,Realistic,Moddable,Indie,Simulation,...","
4€
",-51%,"
SCS Software
","
SCS Software
",2.20€
Destiny 2: Forsaken,"
Steam
", 4 September 2018,"Adventure,Action,FPS,Cooperation,MMORPG,First-Person,Shooter,Looter Shooter,Psychological Horror,Action,Adventure,...","
20€
",-66%,"
Bungie
","
Bungie
",6.89€
